concept polysemousVariant cluster var.1BE-Du var.2BE-Du var.3BE-Du var.1NL-Du var.2NL-Du var.3NL-Du variants freq.BEDu freq.NLDu entropy.variant entropy.lect weight.cramersV weight.llr filter.llr weight.fisher filter.fisher weight.power filter.power distance_cityblock external_uniformity internal_uniformity iu.BEDu iu.NLDu tot.freq min.lect.freq
appreciation no 2 36 0 0 48 0 0 waardering/appreciatie/erkenning 36 48 0 0.682908104700472 0.0213618348 0.0194726515 0 0 0 0.0528843852907794 0 0 1 1 1 1 84 36
appreciation no 3 18 0 0 54 0 0 waardering/appreciatie/erkenning 18 54 0 0.562335144618808 0.0905653929 0.2367212685 0 0 0 0.0971643354766549 0 0 1 1 1 1 72 18
appreciation no 4 84 30 105 134 3 109 waardering/appreciatie/erkenning 219 246 0.900051297133396 0.691460488019238 0.263043799 0.9999999825 1 0.999999973 1 0.999605420688744 1 0.1611538033 0.8388461967 0.4366238872 0.3957590542 0.4931918831 465 219
appreciation no 5 8 0 148 16 0 101 waardering/appreciatie/erkenning 156 117 0.297680355082165 0.682908104700472 0.1475037758 0.9493347083 0 0.9823958382 1 0.579445835743754 0 0.0854700855 0.9145299145 0.8396328946 0.902695595 0.7638980203 273 117
cash no 1 130 6 NA 40 32 NA cash/contanten 136 72 0.475451501008303 0.645033151676034 0.4797957588 1 1 1 1 0.999999647078134 1 0.4003267973 0.5996732027 0.7013683432 0.9156574394 0.5061728395 208 72
cash no 2 92 2 NA 15 25 NA cash/contanten 94 40 0.502464571073741 0.609594369369286 0.6684159486 1 1 1 1 0.99999999620929 1 0.6037234043 0.3962765957 0.6782134106 0.9583521956 0.53125 134 40
cash no 3 139 44 NA 27 169 NA cash/contanten 183 196 0.685438041063182 0.692558793000206 0.6209549013 1 1 1 1 1 1 0.6218077395 0.3781922605 0.5076893088 0.6347457374 0.7624427322 379 183
cash no 4 14 0 NA 9 0 NA cash/contanten 14 9 0 0.669327963292645 0 0.1634442725 0 0 0 0.05 0 0 1 1 1 1 23 9
cash no 5 122 13 NA 23 98 NA cash/contanten 135 121 0.684301487461389 0.691651072970212 0.7110277968 1 1 1 1 1 1 0.7136210591 0.2863789409 0.5088195801 0.8259533608 0.6920975343 256 121
chat yes 1 52 1 0 72 3 0 praatje/babbel_DIM/babbel 53 75 0.139060798454741 0.67830307693926 0.0489746151 0.1497294702 0 0 0 0.0738268920195009 0 0.0211320755 0.9788679245 0.939453125 0.9629761481 0.9232 128 53
chat yes 2 55 45 9 3 0 0 praatje/babbel_DIM/babbel 109 3 0.909744158372035 0.123384978179193 0.1197207967 0.6211181373 0 0.8033342435 0 0.18817947338842 0 0.495412844 0.504587156 0.436065051 0.4318660045 1 112 3
chat yes 3 3 34 58 2 14 21 praatje/babbel_DIM/babbel 95 37 0.799080570839068 0.593239290238737 0.0595401045 0.1992651124 0 0.2701615209 0 0.0869296298981496 0 0.0429587482 0.9570412518 0.4918503214 0.5018282548 0.4682249817 132 37
chat yes 4 3 0 0 22 0 0 praatje/babbel_DIM/babbel 3 22 0 0.36692499127271 0.2562192415 0.4963272864 0 0 0 0.191548883118807 0 0 1 1 1 1 25 3
chat yes 5 103 15 133 334 7 11 praatje/babbel_DIM/babbel 251 352 0.696134683676439 0.67905341309102 0.6006690736 1 1 1 1 1 1 0.5385050707 0.4614949293 0.5835636632 0.4527388454 0.9017142304 603 251
commuter no 1 71 1 NA 5 44 NA pendelaar/forens 72 49 0.65995958773372 0.674971081327512 0.8805036155 1 1 1 1 0.999999999999994 1 0.8840702948 0.1159297052 0.5328187965 0.9726080247 0.8167430237 121 49
commuter no 2 223 13 NA 5 115 NA pendelaar/forens 236 120 0.653159165730335 0.639078722088296 0.8835861074 1 1 1 1 1 1 0.9032485875 0.0967514125 0.5394520894 0.8958991669 0.9201388889 356 120
commuter no 3 42 4 NA 0 28 NA pendelaar/forens 46 28 0.683988432967782 0.663264680725736 0.8420110083 1 1 1 1 0.999999936557364 1 0.9130434783 0.0869565217 0.5091307524 0.8412098299 1 74 28
commuter no 4 68 0 NA 1 13 NA pendelaar/forens 68 14 0.437235217212901 0.45704453303756 0.875760539 1 1 1 1 0.999999998816528 1 0.9285714286 0.0714285714 0.7331945271 1 0.8673469388 82 14
commuter no 5 284 6 NA 3 74 NA pendelaar/forens 290 77 0.524344064139252 0.513703850378591 0.9192543199 1 1 1 1 1 1 0.9403493058 0.0596506942 0.659066442 0.9594768133 0.9251138472 367 77
convict no 1 9 11 NA 13 11 NA gedetineerde/gevangene 20 24 0.693147180559945 0.689009238476659 0.0456435465 0.4554626617 0 0.2374456024 0 0.0605658288758281 0 0.0916666667 0.9083333333 0.5 0.505 0.5034722222 44 20
convict no 2 59 54 NA 34 46 NA gedetineerde/gevangene 113 80 0.69248930050042 0.678457265130766 0.0852321204 0.8171345045 0 0.8080852863 0 0.219742615736246 0 0.0971238938 0.9028761062 0.5006577358 0.5009789334 0.51125 193 80
convict no 3 58 83 NA 61 119 NA gedetineerde/gevangene 141 180 0.65933591890785 0.685748357698366 0.0679557752 0.8173387032 0 0.7989288277 0 0.229654326694615 0 0.0724586288 0.9275413712 0.5334284411 0.5157185252 0.5519135802 321 141
convict no 4 0 14 NA 0 27 NA gedetineerde/gevangene 14 27 0 0.642001383857222 0 0.2460602741 0 0 0 0.05 0 0 1 1 1 1 41 14
convict no 5 20 114 NA 40 227 NA gedetineerde/gevangene 134 267 0.422059685443713 0.637088796418068 0 0.0118124389000001 0 0 0 0.05 0 0.000559002799999986 0.9994409972 0.7455239706 0.74604589 0.7452622424 401 134
database no 1 10 3 NA 0 8 NA data_bank/database 13 8 0.692012964831874 0.664528438654915 0.5893066666 0.9995306922 1 0.9983112862 1 0.770527029683074 0 0.7692307692 0.2307692308 0.5011337868 0.6449704142 1 21 8
database no 2 176 52 NA 148 121 NA data_bank/database 228 269 0.646255327978257 0.689740600514119 0.2277146333 0.9999998291 1 0.9999997163 1 0.999085225424129 1 0.221743951 0.778256049 0.5461541887 0.647891659 0.5050372438 497 228
database no 3 77 27 NA 74 72 NA data_bank/database 104 146 0.671356435772735 0.678968036741767 0.2270669391 0.9998351534 1 0.9997716726 1 0.948478801486343 1 0.2335353003 0.7664646997 0.521632 0.6155695266 0.5000938262 250 104
database no 4 43 10 NA 27 27 NA data_bank/database 53 54 0.644804257720865 0.693103507987763 0.3076097657 0.9994052011 1 0.9989642053 1 0.889141817341418 1 0.3113207547 0.6886792453 0.5475587388 0.6938412246 0.5 107 53
database no 5 28 11 NA 62 24 NA data_bank/database 39 86 0.592953317447474 0.620691563887438 0 0.0274281577 0 0 0 0.05 0 0.00298151469999997 0.9970184853 0.5968 0.5950032873 0.5976203353 125 39
demolition yes 1 195 52 NA 27 131 NA afbraak/sloop 247 158 0.688503499833388 0.668803278550067 0.6011984906 1 1 1 1 1 1 0.6185876083 0.3814123917 0.5046364883 0.6675900277 0.71663195 405 158
demolition yes 2 53 22 NA 4 53 NA afbraak/sloop 75 57 0.683820628784911 0.683820628784911 0.6210526316 1 1 1 1 0.999999886280787 1 0.6364912281 0.3635087719 0.5092975207 0.5854222222 0.8694983072 132 57
demolition yes 3 0 13 NA 0 22 NA afbraak/sloop 13 22 0 0.659711615178473 0 0.1977817233 0 0 0 0.05 0 0 1 1 1 1 35 13
demolition yes 4 16 1 NA 3 8 NA afbraak/sloop 17 11 0.627941588739906 0.670008979827427 0.6207319794 0.9998717518 1 0.9995859213 1 0.907354938506088 1 0.6684491979 0.3315508021 0.5637755102 0.8892733564 0.6033057851 28 11
demolition yes 5 182 50 NA 68 100 NA afbraak/sloop 232 168 0.661563238157982 0.680292000192154 0.3818902658 1 1 1 1 0.999999993179743 1 0.3797208538 0.6202791462 0.53125 0.6618608799 0.5181405896 400 168
dip yes 1 42 29 NA 145 55 NA dip/inzinking 71 200 0.619071136545214 0.575130833501322 0.1178106773 0.9604225657 1 0.9484754503 0 0.491848352998713 0 0.1334507042 0.8665492958 0.572228047 0.5167625471 0.60125 271 71
dip yes 2 30 0 NA 42 0 NA dip/inzinking 30 42 0 0.679193265991526 0 0.1305626481 0 0 0 0.05 0 0 1 1 1 1 72 30
dip yes 3 5 8 NA 20 7 NA dip/inzinking 13 27 0.661563238157982 0.630581028386015 0.2894143807 0.9698138883 1 0.9588026014 1 0.448537736392962 0 0.3561253561 0.6438746439 0.53125 0.5266272189 0.6159122085 40 13
dip yes 4 4 18 NA 16 11 NA dip/inzinking 22 27 0.67618306258639 0.687931943906548 0.3739618549 0.9971563321 1 0.9922444175 1 0.744659062028156 0 0.4107744108 0.5892255892 0.5168679717 0.7024793388 0.5171467764 49 22
dip yes 5 59 208 NA 172 129 NA dip/inzinking 267 301 0.675631209813968 0.691354549914324 0.3524914016 1 1 1 1 0.999999999940607 1 0.3504547886 0.6495452114 0.5174134596 0.6557112598 0.5102040816 568 267
display_window yes 1 24 4 2 51 1 0 etalage/vitrine/uit_stal_raam 30 52 0.342754705331159 0.656711993409389 0.2913382106 0.9708501859 1 0.9599624808 1 0.652760387482808 0 0.1807692308 0.8192307692 0.8408685306 0.6622222222 0.9622781065 82 30
display_window yes 2 82 25 23 9 9 0 etalage/vitrine/uit_stal_raam 130 18 0.926260652842809 0.370143556187381 0.2488659428 0.9903557108 1 0.9955385269 1 0.778682021279631 0 0.3076923077 0.6923076923 0.4549853908 0.4661538462 0.5 148 18
display_window yes 3 21 13 11 30 5 0 etalage/vitrine/uit_stal_raam 45 35 0.895443548275711 0.685314207276458 0.4108170755 0.999713018 1 0.9998021969 1 0.918600403544539 1 0.3904761904 0.6095238096 0.4759375 0.3609876543 0.7551020408 80 35
display_window yes 4 83 25 22 90 35 1 etalage/vitrine/uit_stal_raam 130 126 0.821363043902171 0.693025105279906 0.2868638334 0.9999971738 1 0.9999944098 1 0.989025797623758 1 0.1612942613 0.8387057387 0.5196838379 0.4732544379 0.5874275636 256 126
display_window yes 5 99 69 11 100 155 0 etalage/vitrine/uit_stal_raam 179 255 0.792046322726015 0.677735171748115 0.2649194883 0.999999929 1 0.9999999864 1 0.999325695986985 1 0.222368277 0.777631723 0.4772770711 0.4582566087 0.5232602845 434 179
draw no 1 10 73 9 2 37 0 punt_deling/gelijkspel/draw 92 39 0.549649680219108 0.608911420242618 0.1818010379 0.9369918941 0 0.9598795295 1 0.445284169006435 0 0.1552396878 0.8447603122 0.7181982402 0.6509924386 0.902695595 131 39
draw no 2 44 203 27 11 30 1 punt_deling/gelijkspel/draw 274 42 0.743726355506216 0.391883906250733 0.1190444564 0.9198476189 0 0.8958006478 0 0.458495764026267 0 0.1013208203 0.8986791797 0.5818178177 0.5843944803 0.5793650794 316 42
draw no 3 16 241 14 6 132 1 punt_deling/gelijkspel/draw 271 139 0.364029263314062 0.640386239787219 0.1185751332 0.9729647723 1 0.9546217087 1 0.565903956250801 0 0.0603413948 0.9396586052 0.8318738846 0.7970071214 0.9037316909 410 139
draw no 4 7 20 1 0 4 0 punt_deling/gelijkspel/draw 28 4 0.656527684932918 0.376770161256437 0.1483083865 0.3570666064 0 0.3491461101 0 0.106800980625396 0 0.2857142857 0.7142857143 0.611328125 0.5739795918 1 32 4
draw no 5 22 72 6 1 10 0 punt_deling/gelijkspel/draw 100 11 0.707567119714068 0.323098970685386 0.0884976498 0.3889107219 0 0.1342880293 0 0.121158161004836 0 0.1890909091 0.8109090909 0.5915915916 0.5704 0.8347107438 111 11
ecstasy yes 1 15 0 0 21 0 0 vervoering/trance/extase 15 21 0 0.679193265991526 0.0361994656 0.0249483199 0 0 0 0.0535536315888698 0 0 1 1 1 1 36 15
ecstasy yes 2 72 8 25 104 8 69 vervoering/trance/extase 105 181 0.825794914959952 0.657412092548334 0.1529497297 0.9671718677 1 0.9666356784 1 0.634336206336244 0 0.1431202315 0.8568797685 0.4898528045 0.5326984127 0.477427429 286 105
ecstasy yes 3 7 10 7 39 22 30 vervoering/trance/extase 24 91 1.08732329448563 0.512223371655563 0.1632043727 0.769389349 0 0.7640524941 0 0.32755625755572 0 0.1749084248 0.8250915752 0.3409451796 0.34375 0.3508030431 115 24
ecstasy yes 4 0 26 2 0 34 2 vervoering/trance/extase 28 36 0.233791658706459 0.685314207276458 0.0377176006 0.0462474756 0 0 0 0.0568949488821775 0 0.0158730158 0.9841269842 0.8828125 0.8673469388 0.8950617284 64 28
ecstasy yes 5 41 78 69 53 117 141 vervoering/trance/extase 188 311 1.04587823021248 0.662452418998468 0.0888388337 0.8611846357 0 0.8553904659 0 0.409765500382074 0 0.0863549292 0.9136450708 0.3653037538 0.3544024445 0.3761230757 499 188
electoral_district no 1 127 5 NA 1 0 NA kies_kring/kies_district 132 1 0.160220832403096 0.0442600020458068 0 0.6901158617 0 0 0 0.05 0 0.0378787879 0.9621212121 0.9276386455 0.9271120294 1 133 1
electoral_district no 2 6 16 NA 0 112 NA kies_kring/kies_district 22 112 0.182836586539872 0.446535265929019 0.4275572599 0.9999961958 1 0.9999896053 1 0.998602229090121 1 0.2727272727 0.7272727273 0.9144575629 0.6033057851 1 134 22
electoral_district no 3 139 1 NA 0 1 NA kies_kring/kies_district 140 1 0.0744466204045084 0.0421645771490718 0.398080925 0.9986396598 1 0.9994172494 1 0.997171132940622 1 0.9928571429 0.0071428571 0.9720335999 0.9858163265 1 141 1
electoral_district no 4 16 10 NA 5 65 NA kies_kring/kies_district 26 70 0.525321319515595 0.584085931759361 0.5563843809 0.9999999608 1 0.9999999141 1 0.999759812414668 1 0.543956044 0.456043956 0.658203125 0.5266272189 0.8673469388 96 26
electoral_district no 5 302 53 NA 26 115 NA kies_kring/kies_district 355 141 0.640175902350438 0.596944959371915 0.6303259365 1 1 1 1 1 1 0.6663070623 0.3336929377 0.5520291363 0.7459869074 0.6992103013 496 141
filmmaker no 1 26 17 2 42 6 5 filmmaker/cineast/filmer 45 53 0.782270928040644 0.689811525018257 0.3149833435 0.9931160939 1 0.9926330346 1 0.803823688390345 1 0.2645702306 0.7354297694 0.5416493128 0.4785185185 0.6496974012 98 45
filmmaker no 2 21 29 1 45 19 6 filmmaker/cineast/filmer 51 70 0.862267962615666 0.68076761822157 0.3107804162 0.9975160593 1 0.9975414816 1 0.874248251722641 1 0.2971988796 0.7028011204 0.4582337272 0.4932718185 0.4942857143 121 51
filmmaker no 3 72 81 5 130 45 29 filmmaker/cineast/filmer 158 204 0.915020308544337 0.685051687067536 0.3267929441 0.9999999981 1 0.9999999978 1 0.999950916320736 1 0.2920699926 0.7079300074 0.4413479442 0.4714789297 0.4749615532 362 158
filmmaker no 4 59 40 3 125 19 37 filmmaker/cineast/filmer 102 181 0.883333587554728 0.653661775331895 0.3815837305 0.9999999997 1 0.9999999995 1 0.999978829217309 1 0.2871844871 0.7128155129 0.4861716341 0.4892349097 0.5297457343 283 102
filmmaker no 5 14 16 3 56 7 40 filmmaker/cineast/filmer 33 103 1.00645901158422 0.554111979000417 0.4953458727 0.9999997772 1 0.9999998075 1 0.999729519604723 1 0.4168873199 0.5831126801 0.3934904844 0.4233241506 0.4510321425 136 33
individuality no 1 95 2 2 99 6 0 identiteit/persoonlijkheid/eigenheid 99 105 0.220147888193019 0.692714592227234 0.1208222261 0.7986201071 0 0.857498782 0 0.319418250879466 0 0.0369408369000001 0.9630591631 0.9059976932 0.9216406489 0.892244898 204 99
individuality no 2 0 13 0 0 12 0 identiteit/persoonlijkheid/eigenheid 13 12 0 0.692346967089961 0.0099116839 0.00137362809999997 0 0 0 0.050183996934943 0 0 1 1 1 1 25 12
